,chromosome,subsets,Q
18,"[  5   4   9   2   9   0 100   6   1   2  13  17  11  17  11  17  13  16
  14  22  27  23  20  26  20  22  20  20  21  28  37  32  33  39  39  38
  34  39  32  41  41  40  39  41  43  48  42  49  43  44  56  54  55  56
  55  51  53  58  55  62  65  63  69  69  63  63  65  64  67  61  73  77
  71  75  70  71  78  76  76  71  81  80  80  85  85  89  87  88  86  84
  99  93  94  90  92  93  94  90  97  97   3]","[{0, 5}, {1, 2, 3, 4, 100, 6, 7, 8, 9}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {56, 50, 53}, {51, 52, 54, 55, 57, 58}, {64, 65, 66, 67, 68, 69, 59, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82}, {89, 83, 84, 85}, {88, 86, 87}, {97, 98, 99, 90, 91, 93, 95}, {96, 92, 94}]",132.93152032557776
19,"[  7 100   0   2   7   3   3   6   6  14  17  13  11  17  18  14  14  18
  19  26  26  19  27  27  23  22  21  20  26  33  38  34  35  32  32  38
  38  36  39  34  41  49  47  44  43  42  42  43  47  54  53  49  49  54
  49  56  51  56  57  62  65  67  59  64  69  63  65  68  62  63  71  72
  76  71  73  71  77  71  76  73  85  85  83  82  81  83  89  84  83  81
  97  98  95  90  91  94  94  94  90  95   3]","[{0, 1, 2, 3, 4, 100, 6, 7, 5, 8}, {9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {32, 33, 34, 35, 36, 37, 38, 39, 29, 30, 31}, {40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58}, {48, 42, 43, 44, 45, 46, 47}, {67, 68, 59, 61, 62}, {64, 65, 66, 69, 60, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",133.759583531384
25,"[ 7  7  7  4  6  3  9  0  1 14 13 14 13 19 11 10 17 13 12 13 24 26 21 25
 20 23 23 22 26 37 39 30 33 39 35 39 29 29 39 36 41 43 47 41 43 43 39 49
 47 45 51 56 50 50 55 51 54 56 59 56 62 64 68 64 67 60 65 69 62 63 73 76
 79 70 76 71 72 70 76 74 85 85 85 87 87 82 88 83 83 97 91 98 93 91 92 92
 94 95 96 97  3]","[{0, 1, 2, 7, 8}, {3, 4, 5, 6, 100, 9, 11, 14}, {10, 12, 13, 15, 16, 17, 18, 19}, {24, 20}, {21, 22, 23, 25, 26, 27, 28}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 46}, {40, 41, 42, 43, 44, 45, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {65, 66, 68, 60, 62}, {64, 67, 69, 61, 63}, {73, 77, 70}, {71, 72, 74, 75, 76, 78, 79}, {80, 81, 82, 85}, {83, 84, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",133.58382358567002
37,"[  5 100   7   2   3   3   8   0   6   6  15  14  17  11  11  17  17  12
  17  27  22  26  26  27  19  23  20  20  29  36  38  34  31  37  36  38
  34  29  36  46  47  39  46  48  43  49  39  41  47  47  51  56  55  50
  56  57  53  58  57  58  65  62  66  64  63  60  62  61  65  63  74  72
  77  75  79  73  71  70  75  75  81  85  80  87  89  84  87  83  89  81
  93  92  97  96  97  94  94  99  91  90   1]","[{0, 2, 3, 4, 5, 7}, {1, 100}, {8, 9, 6}, {16, 17, 18, 10, 12, 15}, {11, 13, 14}, {19, 20, 21, 22, 23, 24, 25, 26, 27}, {32, 33, 34, 35, 36, 37, 38, 28, 29, 30, 31}, {39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 53, 54, 56}, {52, 55, 57, 58, 59}, {65, 60, 68}, {66, 67, 61, 62}, {64, 69, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85, 88, 89}, {83, 86, 87}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",135.27067038796707
49,"[ 7  4  9  5  9  0  0  5  1  2 15 17 17 16 17 14 18 12 14 26 24 26 20 26
 21 22 27 22 26 33 34 30 33 29 31 39 38 34 32 35 49 47 43 48 41 47 39 44
 47 54 51 56 59 57 50 54 53 56 57 55 62 67 65 62 67 62 63 64 69 63 73 73
 69 70 79 73 71 75 75 80 85 84 80 85 82 83 87 88 83 97 97 98 98 96 96 92
 98 95 91 97  3]","[{0, 3, 100, 5, 6, 7}, {1, 2, 4, 8, 9}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {32, 33, 36, 38, 29}, {34, 37, 30, 31}, {35, 46, 39}, {40, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {48, 41, 42, 43, 44, 45, 47}, {65, 66, 68, 69, 72, 60, 62, 63}, {64, 67, 61}, {70, 71, 73, 75, 76, 77, 78}, {74, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",134.52681858022262
50,"[  5 100   6   2   9   6   8   2   6   6  17  18  13  17   9  14  13  10
  17  24  22  22  25  26  21  23  23  26  26  28  37  30  35  35  31  38
  34  34  36  32  44  44  43  46  43  49  43  49  47  41  53  54  55  56
  56  57  53  53  50  58  62  62  68  64  62  63  65  60  67  67  71  70
  77  75  71  78  77  75  76  71  82  82  85  88  87  79  87  83  87  87
  97  92  94  95  97  92  90  99  96  90   3]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 100}, {16, 17, 18, 10, 11, 12, 13}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 74, 79, 80, 81, 82, 85}, {72, 73, 75, 76, 77, 78}, {83, 84, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",150.5024559653708
55,"[  6   8   4 100   0   3   8   4   2   1  11  14  17  16  16  10  18  12
  16  17  27  22  21  27  20  27  25  19  22  22  34  30  35  39  30  31
  37  29  36  41  41  47  45  48  40  48  43  48  45  52  58  56  49  59
  56  57  54  56  55  55  65  62  63  65  67  69  63  61  69  68  73  74
  79  79  73  71  79  79  70  73  84  82  85  82  82  80  89  80  83  85
  99  90  97  90  97  92  94  95  91  95   3]","[{0, 1, 2, 4, 6, 7, 8, 9}, {3, 100, 5}, {16, 18, 10, 11, 13, 14, 15}, {12, 17, 19, 20, 23, 24, 25, 26, 27}, {36, 37, 38, 21, 22, 28, 29}, {32, 34, 35, 30, 31}, {33, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48}, {49, 52}, {50, 51, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",148.6579177085752
57,"[  2   6   6 100   3   7   1   1   3  17  11  10  17  14  16  17  14  11
  14  22  27  28  29  26  19  22  23  23  26  25  38  30  38  29  31  31
  39  36  32  34  42  49  45  41  39  48  42  49  45  40  54  49  59  54
  51  51  54  53  50  63  62  64  69  67  62  69  63  64  69  62  77  75
  71  79  73  73  71  72  70  77  84  84  89  88  81  84  88  88  87  84
  97  98  91  98  91  92  93  99  92  98   6]","[{0, 1, 2, 3, 100, 4, 6, 7, 8, 5}, {17, 9, 10, 11, 12, 15}, {16, 18, 13, 14}, {33, 19, 22, 24, 25, 29}, {20, 21, 23, 26, 27, 28}, {32, 34, 35, 36, 37, 38, 39, 44, 30, 31}, {40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58}, {64, 65, 66, 67, 68, 69, 52, 59, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85, 89}, {88, 83, 86, 87}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",140.2567986294864
64,"[  6 100   8   6   2   3   3 100   6   1  11  10  17  17  18  10  14  16
  19  20  22  23  24  25  22  26  27  26  21  33  38  32  34  39  30  34
  34  33  30  36  44  43  45  44  49  47  42  41  45  45  53  54  59  57
  59  51  54  55  50  62  65  67  66  64  67  63  65  59  69  63  78  79
  76  75  70  73  79  71  76  75  82  89  85  85  87  82  89  88  83  85
  99  96  93  91  96  93  98  89  93  95   3]","[{0, 1, 2, 3, 100, 4, 6, 7, 8, 9, 5}, {10, 11, 15}, {12, 13, 14, 16, 17, 18, 19, 20, 22, 24}, {21, 23, 25, 26, 27, 28}, {32, 33, 34, 35, 36, 37, 38, 39, 29, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {64, 65, 66, 67, 68, 69, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {97, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 98, 99, 90, 91, 92, 93, 94, 95}]",131.866006297028
96,"[ 2  7  3  6  1  3  7  4  6 19 11 13 17 10 18 14 13 13 11 26 19 19 26 21
 19 27 22 22 26 25 34 35 33 32 36 39 39 36 36 38 49 40 45 45 40 48 44 44
 45 41 58 50 49 57 56 57 51 53 57 49 67 63 69 66 67 66 62 68 65 63 78 77
 73 79 73 79 71 72 70 72 82 82 89 87 89 79 88 83 86 87 99 94 97 96 96 93
 98 99 97 95  1]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 100}, {9, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {34, 35, 36, 37, 38, 39, 30, 31}, {32, 33}, {40, 41, 44, 46, 47, 49, 52, 59}, {48, 42, 43, 45}, {50, 51, 53, 54, 55, 56, 57, 58}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {78, 70}, {71, 72, 73, 74, 75, 76, 77, 79, 85}, {80, 81, 82, 83, 84, 87, 89}, {88, 86}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",158.05595636895265
