,chromosome,subsets,Q
3,"[ 7  9  4  2  1  3  9  6  2  1 13 17 13 16 15 17 14 12 17 13 24 22 20 25
 22 27 23 25 21 33 37 35 39 35 36 38 29 36 35 30 42 44 40 46 39 42 44 42
 45 41 52 50 53 57 55 52 59 55 57 52 67 67 68 62 63 68 69 63 62 66 71 70
 71 72 71 73 74 76 69 70 87 85 80 87 81 79 87 79 83 87 97 94 94 95 95 97
 94 94 92 98  1]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {10, 11, 12, 13, 14, 15, 16, 17, 18, 19}, {20, 21, 22, 24, 28}, {25, 26, 27, 23}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 43, 44, 46, 49}, {48, 40, 42, 45, 47}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 67, 68, 60, 61, 62, 63}, {66, 69, 78}, {70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",60.40674144140857
5,"[ 2  7  4  5  7  6  7  8  1  1 15 14 13 16 13 13 13 18 19 22 24 28 21 27
 23 26 21 22 22 22 31 37 34 35 30 32 39 31 30 30 47 49 43 45 41 43 43 49
 43 44 53 55 53 50 49 57 59 56 57 56 65 64 69 62 63 62 69 63 67 66 73 70
 79 74 70 79 77 76 75 70 89 84 81 88 85 83 87 84 87 85 98 94 94 90 97 92
 94 98 90 90  1]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 9, 5}, {16, 10, 11, 12, 13, 14, 15}, {17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {49, 54, 40, 41, 44, 47}, {48, 42, 43, 45, 46}, {50, 52, 53}, {51, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 78, 79}, {76, 77}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",77.6470560393369
6,"[  2 100   9   2   6   7   3   6   2   6  15  14  17  19  18  17  18  18
  12  20  28  22  29  24  19  23  22  26  29  28  34  34  33  35  32  31
  34  31  35  34  44  47  40  42  41  42  44  48  45  41  51  54  49  59
  59  57  51  58  50  55  65  63  63  67  61  68  65  63  69  64  71  72
  76  76  71  73  74  76  70  87  79  84  81  82  82  79  88  89  87  98
  97  90  94  92  91  97  93  90  96  98   1]","[{0, 2, 3, 4, 5, 6, 7, 8, 9}, {1, 100}, {10, 11, 12, 14, 15, 16, 17, 18}, {13, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52}, {50, 51, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78}, {79, 80, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}, {81, 82, 83, 84}]",67.86896561009368
7,"[ 5  7  8  4  9  3  3  8  6  4 17 10 17 17 18 13 18 10 11 22 22 19 27 25
 19 29 21 23 22 28 37 34 34 39 32 33 38 34 36 33 44 44 39 45 49 49 39 40
 43 47 54 49 50 50 59 51 55 58 50 53 65 69 61 62 62 62 69 60 62 66 74 79
 76 71 73 77 73 72 70 77 81 85 85 85 80 81 87 80 86 92 98 92 97 90 97 93
 94 89 89 95  1]","[{0, 1, 2, 3, 4, 5, 6, 100, 7, 9, 8}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 34, 37, 30, 31}, {33, 35, 39, 42, 46}, {36, 38}, {40, 41, 43, 44, 45, 47, 48, 49, 51, 55, 56}, {50, 52, 53, 54, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",79.66684385430632
10,"[ 2  4  7  5  1  3  4  1  6  6 15 18 18 14 18 17 18 16 16 22 22 26 28 25
 20 27 20 20 29 28 39 35 39 35 31 33 38 31 35 33 49 49 46 48 39 48 44 44
 47 59 58 50 50 52 50 51 53 55 55 67 65 69 59 66 69 62 65 60 62 65 77 75
 69 79 71 71 73 71 75 76 81 85 89 85 87 79 87 89 87 85 97 89 91 96 95 93
 93 95 91 90  3]","[{0, 1, 2, 4, 6, 7, 8, 9}, {3, 100, 5}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48}, {64, 65, 66, 67, 68, 69, 72, 40, 41, 49, 59, 60, 61, 62, 63}, {50, 51, 52, 53, 54, 55, 56, 57, 58}, {70, 71, 74, 75, 77, 78}, {73, 76, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 98}, {96, 97, 99, 90, 93, 94, 95}]",51.942427363052836
14,"[  4 100   8   4   6   7   4   2   6  19  11  17  18  19  16  13  18  10
  17  18  22  19  24  24  23  23  20  20  21  33  37  35  34  37  36  34
  37  31  35  46  41  47  47  44  39  42  39  44  45  40  51  50  53  52
  59  56  57  53  57  53  65  64  65  64  62  69  69  68  65  61  77  76
  79  75  76  79  71  72  75  80  79  82  80  87  85  80  87  86  89  92
  93  94  89  95  92  97  98  99  90  90   6]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 5}, {9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 28}, {20, 22, 23, 24, 25, 26, 27}, {32, 33, 34, 35, 36, 37, 38, 29, 30, 31}, {39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51}, {52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 72, 73, 75, 77, 78, 79, 80, 81, 82, 84, 85}, {74, 76, 71}, {83, 86, 87}, {88, 89, 91, 92, 94}, {96, 97, 98, 99, 90, 93, 95}]",60.135476199115516
19,"[  2   6   4 100   6   3   9   0   1  19  11  18  11  10  13  17  13  13
  12   9  19  22  21  24  23  23  22  26  20  25  38  30  39  35  36  31
  29  34  35  37  44  49  40  45  46  43  44  42  43  45  58  55  50  57
  50  54  54  58  57  49  65  63  60  69  62  68  65  69  69  63  73  76
  76  75  76  71  73  72  69  72  82  80  83  82  85  81  89  86  89  84
  96  94  89  91  97  93  91  94  91  95   1]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 20, 28, 100}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {26, 27, 21, 22}, {32, 34, 36, 37, 39, 23, 24, 25, 29}, {33, 35, 38, 30, 31}, {40, 42, 44, 46, 47}, {48, 49, 41, 43, 45, 59}, {50, 51, 52, 53, 54, 55, 56, 57, 58}, {64, 65, 66, 67, 68, 69, 78, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 92}, {96, 97, 98, 99, 90, 91, 93, 94, 95}]",63.62716803857417
20,"[ 5  8  0  4  2  6  5  5  7  1 11 14 17 10 13 17 13 15 16 20 19 28 20 25
 22 29 23 22 29 36 37 30 34 39 31 33 39 29 39 35 44 44 39 41 46 49 44 45
 45 40 51 56 55 57 49 58 59 55 55 56 67 69 63 65 62 63 63 63 69 64 74 72
 71 71 79 77 72 71 69 85 81 89 80 85 82 82 88 88 89 85 91 93 94 96 95 99
 90 94 89 98  6]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {16, 18, 10, 11, 13, 14}, {17, 12, 15}, {19, 20, 22, 24, 27}, {21, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42}, {40, 41, 43, 44, 45, 46, 47, 48, 49, 54}, {56, 59, 50, 51}, {52, 53, 55, 57, 58}, {64, 65, 66, 67, 68, 69, 78, 60, 61, 62, 63}, {70, 74, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 92, 94, 95, 97, 98, 99}, {71, 72, 73, 75, 76, 77}, {96, 90, 91, 93}]",51.35447968362434
21,"[  4   6   0   5   0   7 100   6   1  14  17  18  18  12  13  10  18   9
  14  21  19  24  19  25  19  23  20  22  20  28  34  37  33  39  36  32
  38  39  35  37  44  49  46  42  39  49  39  41  47  51  54  49  49  59
  53  54  50  58  59  63  67  64  61  65  61  62  62  64  67  67  78  74
  76  75  76  79  78  79  75  77  82  82  84  88  85  82  88  84  89  91
  91  94  93  92  95  93  98  94  96  90   1]","[{0, 2, 4}, {1, 3, 100, 5, 6, 7, 8}, {9, 10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 24, 26, 27, 28, 29}, {25, 23}, {32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 46, 30, 31}, {48, 49, 51, 52, 41, 45, 47}, {64, 65, 66, 67, 68, 69, 50, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85, 87}, {97, 99, 83, 86, 88, 89, 90, 91, 92, 93, 94, 95}, {96, 98}]",57.05654025280501
23,"[ 9  9  8  5  1  3  0  5  6  6 13 12 18 17 18 13 17 12 14 27 27 19 29 24
 19 22 20 26 26 36 34 37 35 32 32 39 34 29 39 36 47 44 45 48 46 49 44 49
 43 52 52 56 53 56 50 58 59 55 55 49 65 69 63 64 62 68 63 60 69 61 79 79
 79 71 70 79 73 79 70 73 85 82 84 82 89 80 89 89 83 85 97 89 89 92 96 94
 93 90 91 97  7]","[{0, 1, 2, 4, 6, 8, 9}, {3, 100, 5, 7}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 23, 24, 26, 27, 28}, {22, 25, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}, {40, 42, 45, 47, 49, 50, 51, 52, 53, 54, 56, 59}, {41, 44, 46}, {48, 43}, {57, 58, 55}, {65, 67, 68, 69, 60, 61}, {64, 66, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 98}, {97, 90, 99}]",55.444586219177914
