,chromosome,subsets,Q
0,"[ 4  7  9  8  6  0  4  2  6  2 13 13 13 11 11 17 17 15 11 17 27 23 21 24
 22 29 27 19 21 36 39 37 38 35 37 39 38 34 39 42 41 47 43 48 49 43 43 40
 43 41 54 56 55 59 53 59 54 56 57 56 65 63 68 61 61 69 63 69 67 63 77 73
 73 74 71 71 72 75 69 75 79 82 83 88 87 84 87 80 86 85 96 90 91 91 96 94
 93 89 99 98  7]","[{0, 3, 4, 5, 6, 8}, {1, 2, 100, 7, 9}, {18, 10, 11, 12, 13, 14}, {16, 17, 19, 20, 26, 27, 15}, {21, 22, 23, 24, 28}, {32, 33, 35, 36, 38, 39, 42, 43, 45, 46, 48, 25, 29, 30}, {34, 37, 31}, {49, 40, 41, 44, 47}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 78, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97}, {96, 90, 91, 92, 93, 94, 95}, {98, 99}]",46.54579219159548
2,"[ 4  7  0  6  2  0  5  6  1 11 11 18 13 11  9 14 17 18 17 22 26 24 26 26
 23 26 20 25 29 36 31 35 39 35 39 33 37 36 32 37 47 47 43 41 47 49 44 41
 43 41 51 55 53 57 49 51 50 53 50 63 65 69 61 64 61 60 62 64 69 78 78 75
 71 76 71 77 77 79 70 85 87 84 83 82 82 89 88 88 89 90 96 92 95 90 97 97
 90 90 99 98  1]","[{0, 1, 2, 3, 4, 5, 6, 7, 100, 8}, {9, 10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27}, {32, 34, 36, 37, 38, 39, 28, 29}, {33, 35, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 54}, {50, 51, 55, 56, 58}, {57, 52, 53}, {64, 66, 67, 68, 69, 70, 78, 59, 61, 62, 63}, {65, 60}, {71, 72, 73, 74, 75, 76, 77, 79, 80, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97}, {81, 82, 83, 84}, {98, 99}]",50.30945390272783
3,"[ 7  9  4  2  1  3  9  6  2  1 13 17 13 16 15 17 14 12 17 13 24 22 20 25
 22 27 23 25 21 33 37 35 39 35 36 38 29 36 35 30 42 44 40 46 39 42 44 42
 45 41 52 50 53 57 55 52 59 55 57 52 67 67 68 62 63 68 69 63 62 66 71 70
 71 72 71 73 74 76 69 70 87 85 80 87 81 79 87 79 83 87 97 94 94 95 95 97
 94 94 92 98  1]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {10, 11, 12, 13, 14, 15, 16, 17, 18, 19}, {20, 21, 22, 24, 28}, {25, 26, 27, 23}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 43, 44, 46, 49}, {48, 40, 42, 45, 47}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 67, 68, 60, 61, 62, 63}, {66, 69, 78}, {70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",60.40674144140857
4,"[ 6  7  7  4  2  3  9  0  1 11 13  9 13 15 11 13 14 19 12 13 19 22 25 27
 20 27 20 23 22 25 31 34 33 32 35 31 38 29 36 41 42 40 43 45 39 47 43 48
 43 51 54 50 55 54 49 51 59 56 59 63 65 69 64 69 67 63 62 68 69 71 73 77
 79 70 76 71 73 71 69 76 84 89 81 85 87 83 87 88 86 84 98 90 91 90 97 94
 98 95 92 95  7]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100, 11, 14, 16}, {10, 12, 13, 15, 17, 18, 19, 20, 24, 26}, {37, 21, 22, 23, 25, 27, 28, 29}, {34, 35, 30, 31}, {32, 33}, {36, 38}, {39, 40, 41, 42, 43, 44, 45, 46, 47, 48}, {49, 50, 51, 52, 53, 54, 55}, {64, 65, 66, 67, 68, 69, 71, 75, 77, 78, 56, 57, 58, 59, 60, 61, 62, 63}, {70, 72, 73, 74, 76, 79}, {80, 81, 82, 84, 86, 87, 88, 89}, {83, 85}, {96, 98, 90, 91, 92, 93}, {97, 99, 94, 95}]",48.215523785196744
5,"[ 2  7  4  5  7  6  7  8  1  1 15 14 13 16 13 13 13 18 19 22 24 28 21 27
 23 26 21 22 22 22 31 37 34 35 30 32 39 31 30 30 47 49 43 45 41 43 43 49
 43 44 53 55 53 50 49 57 59 56 57 56 65 64 69 62 63 62 69 63 67 66 73 70
 79 74 70 79 77 76 75 70 89 84 81 88 85 83 87 84 87 85 98 94 94 90 97 92
 94 98 90 90  1]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 9, 5}, {16, 10, 11, 12, 13, 14, 15}, {17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {49, 54, 40, 41, 44, 47}, {48, 42, 43, 45, 46}, {50, 52, 53}, {51, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 78, 79}, {76, 77}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",77.6470560393369
6,"[  2 100   9   2   6   7   3   6   2   6  15  14  17  19  18  17  18  18
  12  20  28  22  29  24  19  23  22  26  29  28  34  34  33  35  32  31
  34  31  35  34  44  47  40  42  41  42  44  48  45  41  51  54  49  59
  59  57  51  58  50  55  65  63  63  67  61  68  65  63  69  64  71  72
  76  76  71  73  74  76  70  87  79  84  81  82  82  79  88  89  87  98
  97  90  94  92  91  97  93  90  96  98   1]","[{0, 2, 3, 4, 5, 6, 7, 8, 9}, {1, 100}, {10, 11, 12, 14, 15, 16, 17, 18}, {13, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52}, {50, 51, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78}, {79, 80, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}, {81, 82, 83, 84}]",67.86896561009368
7,"[ 5  7  8  4  9  3  3  8  6  4 17 10 17 17 18 13 18 10 11 22 22 19 27 25
 19 29 21 23 22 28 37 34 34 39 32 33 38 34 36 33 44 44 39 45 49 49 39 40
 43 47 54 49 50 50 59 51 55 58 50 53 65 69 61 62 62 62 69 60 62 66 74 79
 76 71 73 77 73 72 70 77 81 85 85 85 80 81 87 80 86 92 98 92 97 90 97 93
 94 89 89 95  1]","[{0, 1, 2, 3, 4, 5, 6, 100, 7, 9, 8}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 34, 37, 30, 31}, {33, 35, 39, 42, 46}, {36, 38}, {40, 41, 43, 44, 45, 47, 48, 49, 51, 55, 56}, {50, 52, 53, 54, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",79.66684385430632
8,"[ 5  7  9  4  3  7  3  1  6  4 11  9 13 14 13 17 17 18 16 26 19 19 27 25
 22 26 23 23 22 28 34 32 31 39 31 39 38 29 39 36 42 40 43 48 46 43 39 44
 47 40 54 56 49 59 49 54 54 58 59 52 62 67 68 65 61 63 62 60 62 68 73 73
 71 79 71 71 72 70 76 87 81 84 80 87 80 84 89 79 83 97 96 94 97 91 95 97
 90 94 91 90  1]","[{0, 1, 100, 5, 7}, {2, 3, 4, 6, 8, 9, 10, 11}, {12, 13, 14}, {16, 17, 18, 15}, {37, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 34, 30, 31}, {33, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 66, 67, 68, 69, 60, 61, 62}, {65, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 83, 87, 88}, {80, 81, 82, 84, 85}, {97, 98, 86, 89, 91, 92, 93, 94, 95}, {96, 90, 99}]",40.131159294380204
9,"[  5   4   8 100   3   7   3   6   7   2  15  10  17  17  13  14  17  13
  19  22  24  23  28  27  22  27  19  23  26  33  31  30  31  37  30  39
  38  29  32  41  49  40  47  46  47  48  39  43  45  54  53  56  59  52
  59  59  54  58  55  49  65  69  60  62  61  62  62  63  67  71  79  72
  71  76  73  79  74  76  69  70  89  84  89  82  89  81  88  88  83  97
  97  94  95  95  91  93  90  92  93  90   7]","[{0, 1, 2, 3, 100, 5, 4, 7, 8, 9, 6}, {10, 11, 12, 13, 14, 15, 16, 17}, {18, 19, 20, 22, 24, 26, 28}, {25, 27, 21, 23}, {33, 29, 37}, {32, 34, 36, 38, 30, 31}, {35, 39, 40, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {48, 45}, {65, 66, 67, 68, 60, 62, 63}, {64, 69, 71, 72, 61, 78}, {75, 70, 79}, {73, 74, 76, 77}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 92, 93, 95, 96, 97, 98, 99}, {91, 94}]",42.011559224332125
10,"[ 2  4  7  5  1  3  4  1  6  6 15 18 18 14 18 17 18 16 16 22 22 26 28 25
 20 27 20 20 29 28 39 35 39 35 31 33 38 31 35 33 49 49 46 48 39 48 44 44
 47 59 58 50 50 52 50 51 53 55 55 67 65 69 59 66 69 62 65 60 62 65 77 75
 69 79 71 71 73 71 75 76 81 85 89 85 87 79 87 89 87 85 97 89 91 96 95 93
 93 95 91 90  3]","[{0, 1, 2, 4, 6, 7, 8, 9}, {3, 100, 5}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48}, {64, 65, 66, 67, 68, 69, 72, 40, 41, 49, 59, 60, 61, 62, 63}, {50, 51, 52, 53, 54, 55, 56, 57, 58}, {70, 71, 74, 75, 77, 78}, {73, 76, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 98}, {96, 97, 99, 90, 93, 94, 95}]",51.942427363052836
